Latency,Energy,Cost
0.0054,13500,3037.5
0.002842105263157895,32400,5062.5
0.0054,13500,3037.5
0.00054,270000,50625.0
0.0054,13500,3037.5
0.002842105263157895,32400,5062.5
0.0054,13500,3037.5
0.0024545454545454545,40500,6075.0
0.0054,13500,3037.5
0.00054,270000,50625.0
0.003176470588235294,27000,4050.0
0.027,2700.0,607.5
0.00054,270000,50625.0
0.0054,13500,3037.5
0.003176470588235294,27000,4050.0
0.0024545454545454545,40500,6075.0
0.0054,13500,3037.5
0.0054,13500,3037.5
0.0054,13500,3037.5
0.0054,13500,3037.5
0.002842105263157895,32400,5062.5
0.027,2700.0,607.5
0.002842105263157895,32400,5062.5
0.0054,13500,3037.5
0.002842105263157895,32400,5062.5
0.00054,270000,50625.0
0.002842105263157895,32400,5062.5
0.0054,13500,3037.5
0.0054,13500,3037.5
0.00054,270000,50625.0
0.002842105263157895,32400,5062.5
0.027,2700.0,607.5
0.00054,270000,50625.0
0.002842105263157895,32400,5062.5
0.027,2700.0,607.5
0.003176470588235294,27000,4050.0
0.027,2700.0,607.5
0.002842105263157895,32400,5062.5
0.00054,270000,50625.0
0.027,2700.0,607.5
0.002842105263157895,32400,5062.5
0.002842105263157895,32400,5062.5
0.0024545454545454545,40500,6075.0
0.002842105263157895,32400,5062.5
0.027,2700.0,607.5
0.00054,270000,50625.0
0.00054,270000,50625.0
0.027,2700.0,607.5
0.0024545454545454545,40500,6075.0
0.0054,13500,3037.5
